Standortnummer;Einrichtungsname;Einrichtungsart;Adresse;PLZ;Stadt;Bezirk;Webseite;Telefon;E_Mail;Angebot;Träger;Anmerkungen;Kurzbeschreibung;X_Koordinate;Y_Koordinate;Foto_Link;Google_Maps_Link;Sachstand
NK07NH;Stadtteilzentrum Buckow;Stadtteilzentrum;Christoph-Ruden-Straße 9;12349;Berlin;Neukölln;https://www.stz-buckow.de/;0175 33 88 67 5 / 0157 80 67 16 28;info@stz-buckow.de;Stadtteil- und Nachbarschaftsarbeit, Gemeinwesenarbeit, Beratung, Kurse und Gruppen, Familienarbeit;Diakoniewerk Simeon gGmbH und Selbsthilfe- und Stadtteilzentrum Neukölln-Süd e.V .;;;13.436066;52.4178315;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/nk07nh.jpg;;2025-06-11
NK07NH;Nachbarschaftstreff Buckow;Nachbarschaftshaus;Mollnerweg 35;12353;Berlin;Neukölln;https://stz-buckow.de/standorte/nachbarschaftstreff-buckow/;(030) 63 33 67 01;nachbarschaftstreff-buckow@sh-stzneukoelln.de;Stadtteil- und Nachbarschaftsarbeit, Gemeinwesenarbeit, Beratung, Kurse und Gruppen, Familienarbeit;Diakoniewerk Simeon gGmbH und Selbsthilfe- und Stadtteilzentrum Neukölln-Süd e.V .;;;13.4437094;52.4187245;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/nk07nh_2.jpg;;2025-06-11
NK08NH;Stadtteilzentrum Rudow;Stadtteilzentrum;Neuköllner Straße 297;12357;Berlin;Neukölln;https://www.diakoniewerk-simeon.de/informieren/stadtteilentwicklung/stadtteilzentrum-rudow;(030) 67 81 29 63;stadtteilzentrum-rudow@diakoniewerk-simeon.de;Stadtteil- und Nachbarschaftsarbeit;Diakoniewerk Simeon gGmbH;;;13.4879148;52.4225746;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;;2026-06-08
NK10NH;Stadtteilzentrum Köllnische Heide;Stadtteilzentrum;Sonnenallee 319;12057;Berlin;Neukölln;https://www.internationaler-bund.de/standort/212181;(030) 68 05 98 43;stz-koellnische-heide-berlin@ib.de;Stadtteil- und Nachbarschaftsarbeit;Internationaler Bund Berlin-Brandenburg gGmbH;;;13.4727003;52.4654641;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;https://maps.app.goo.gl/z3vjXSfbDE9LkcPz6;2025-06-11
PA01NH;Stadtteilzentrum Prenzlauer Berg;Stadtteilzentrum;Fehrbelliner Straße 92;10119;Berlin;Pankow;https://stz-prenzlauerberg.de/;(030) 443 83 713;stadtteilzentrum@pfefferwerk.de;Stadtteil- und Nachbarschaftsarbeit, Beratung, Kurse und Gruppen, Mobile Stadtteilarbeit;Pfefferwerk StadtKultur gGmbH;;Das Stadtteilzentrum Prenzlauer Berg ist ein offenes Haus für alle Menschen aus dem Kiez. Es fördert den nachbarschaftlichen Zusammenhalt, unterstützt bürgerschaftliches Engagement und bietet vielfältige Angebote – von Baby-Gruppen bis hin zum Senior*innentheater. Es finden kulturelle, gesundheitsfördernde, bildende und begegnende Formate für alle Alternsgruppen ihren Platz im Stadtteilzentrum. Besonders geprägt ist das Haus durch seine bewegende Geschichte als ehemaliges jüdisches Kinderheim. Angedockte Projekte wie LeNa - Lebendige Nachbarschaft, unsere Mobile Stadtteilarbeit im Ernst-Thälmann-Park und Sprungbrett, aktiv in nahe gelegenen Gemeinschaftsunterkünften für geflüchtete Menschen, machen das Zentrum zu einem lebendigen und unterstützenden Ankerpunkt im Stadtteil, für alle neuen und alten Berliner*innen.;13.4080454083575;52.5313815065484;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/pa01nh.jpg;;2025-06-11
PA02NH;Stadtteilzentrum Pankow;Stadtteilzentrum;Schönholzer Straße 10;13187;Berlin;Pankow;https://www.stz-pankow.de/;(030) 49 98 70 90 0;familienzentrum@stz-pankow.de;Stadtteil- und Nachbarschaftsarbeit, Beratung, Kurse und Gruppen,Mobile Stadtteilarbeit, Schwerpunkt Inklusion, Kultur und Veranstaltungen, Familienarbeit, Ehrenamt und Freiwilligenarbeit, KiezCafé, Nachhaltigkeit und Umwelt, Interkulturelle Arbeit;Bürgerhaus BüHa gGmbH;;Das STZ Pankow ist ein lebendiger Treffpunkt für alle Bürger des Stadtteils und bietet ein breites Spektrum an Unterstützung in den Bereichen bürgerschaftliches Engagement, Nachbarschaft, Familie, Arbeit, Inklusion, Integration von Neu-Berlinern sowie Gesundheit und Pflege. Durch vielfältige Angebote wie Beratungen, Informationsabende und Selbsthilfegruppen fördert das Stadtteilzentrum den sozialen Zusammenhalt und vermittelt Kontakte zu spezialisierten Einrichtungen im Stadtteil. Ein zentraler Bestandteil des STZs ist das Café, das als offene Anlaufstelle eine einladende Atmosphäre schafft und Raum für Begegnungen sowie Veranstaltungen bietet. Gleichzeitig befindet sich dort die Verteilstation für gerettete Lebensmittel. Zusätzlich stärken wir unser Engagement für Nachhaltigkeit durch vielfältige Angebote. Als zivilgesellschaftlicher Akteur unterstützt das STZ Initiativen und Vereine und organisiert kreative, gesundheitliche sowie kulturelle Veranstaltungen. In enger Kooperation mit verschiedenen Vereinen, sozialen Einrichtungen, Kitas und Schulen wird ein umfassendes Netzwerk aufgebaut, das die nachhaltige Weiterentwicklung der Angebotsvielfalt sichert. Die Gewinnung neuer Kooperationspartner wie z.B. die Verbraucherzentrale, die Mieter- und Sozialberatung ist ein wichtiger Schwerpunkt unserer Arbeit. Ein besonderes Augenmerk liegt auf den Bedürfnissen von Familien. Durch Workshops, Kurse und gezielte Beratungsangebote in den Bereichen Erziehung, Gesundheit und Schuldnerberatung werden Familien aktiv unterstützt. Veranstaltungen fördern das Miteinander von Eltern und Kindern, stärken die Selbsthilfepotentiale und verbessern die Kommunikation innerhalb der Familien. Zudem bietet das STZ regelmäßig Ferienkurse für Kinder und Jugendliche an, um Bildungs- und Freizeitangebote in der unterrichtsfreien Zeit zu ermöglichen und Familien zu entlasten. Ein weiterer Schwerpunkt ist die inklusive Arbeit mit Menschen mit Behinderung sowie mit Flucht- und Migrationshintergrund. Projekte wie die AG Inklusion und das Integrationsprojekt Empowerment schaffen Teilhabe und fördern die gesellschaftliche Integration. Gemeinsam mit dem Projekt Empowerment führen wir z.B. die Angebote wie Frauenfrühstück, Meet&Eat und Spiele-Abende durch. Das Stadtteilzentrum Pankow ist durch seine vielfältigen Angebote, die enge Vernetzung mit anderen Einrichtungen in Pankow und darüber hinaus sowie das Engagement für ein solidarisches Miteinander ein zentraler Anlaufpunkt für die Menschen im Stadtteil.  Im Stadtteilzentrum Pankow befinden sich:  • Die KIS (HvD) bietet Beratung an, vermittelt in bestehende Gruppen und unterstützt bei der Gründung neuer Gruppen zu Themen wie gesundheitlicher Vorsorge, chronischen Krankheiten, Behinderung, Sucht oder psychosozialen Problemen.  • Die KPE (HvD) ist ein Entlastungsangebot für pflegende Angehörige.  • Die Kommunale Begegnungsstätte an der Panke (Bezirksamts Pankow) ist eine offene Einrichtung für ältere Menschen und erfüllt das Bedürfnis nach Kommunikation, Information, Freizeitgestaltung und Bildung.  • Die mobile Jobberatung für geflüchtete Menschen (MobiJob der Gesellschaft für Bildung und Teilhabe mbH-GesBiT) leistet Beratung zu beruflicher Orientierung, Unterstützung bei Bewerbungsunterlagen und Begleitung zu Unternehmen.  • Das Netzwerk für Familien mit Weit.Blick (Berliner Stadtmission) unterstützt Familien die Bürgergeld, Sozialhilfe, Kinderzuschlag erhalten oder Anspruch darauf haben.  • Der Lerntreff (Volkshochschule Pankow) ist ein offenes Angebot zum Lesen- und Schreibenlernen oder zum Verbessern ihrer Deutschkenntnisse. Durch die enge Zusammenarbeit aller genannten Projekte entstehen positive Synergieeffekte, die sowohl den Nutzern als auch dem Team des STZs zugutekommen;13.3994096862749;52.56984955;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/pa02nh_1.jpg;;2025-06-11
PA03NH;Stadtteilzentrum Weißensee (Frei-Zeit-Haus);Stadtteilzentrum;Pistoriusstraße 23;13086;Berlin;Pankow;https://www.stz-weissensee.de;(030) 92 79 94 63;info@frei-zeit-haus.de;Stadtteil- und Nachbarschaftsarbeit, Beratung, Kurse und Gruppen, Kultur und Veranstaltungen, Familienarbeit, Schwerpunkt Inklusion;FreiZeitHaus e. V.;;;13.4520756;52.5524215;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/pa03nh_1.jpg;;2025-06-11
PA03NH;NaiMo - Nachbarschaftstreff im Moselviertel;Nachbarschaftshaus;Brodenbacher Weg 34;13088;Berlin;Pankow;https://www.frei-zeit-haus.de/projekte/nachbarschaftstreff-naimo.html;(030) 33 77 27 34;antonia.fleckenstein@frei-zeit-haus.de;Stadtteil- und Nachbarschaftsarbeit;FreiZeitHaus e. V.;;;13.4762535;52.5589262;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;https://maps.app.goo.gl/U9do6y42egY4bFKu8;2025-06-11
PA03NH;Alte Apotheke (Zukunftswerkstatt Heinersdorf);Nachbarschaftshaus;Romain-Rolland-Straße 112;13088;Berlin;Pankow;https://www.frei-zeit-haus.de/projekte/alte-apotheke.html;(030) 21 98 29 70;doreen.stock@frei-zeit-haus.de;Stadtteil- und Nachbarschaftsarbeit;FreiZeitHaus e. V.;;;13.4378718;52.5720202;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;https://maps.app.goo.gl/h1nNPTSEB6AUwQGf8;2025-06-11
PA08NH;Nachbarschaftszentrum Amtshaus Buchholz;Stadtteilzentrum;Rosenthaler Weg 32;13127;Berlin;Pankow;https://www.amtshaus-buchholz.de/;(030) 47 58 47 2;info@amtshaus-buchholz.de;Stadtteil- und Nachbarschaftsarbeit, Beratung, Kompetenz- und Koordinationszentren;Bürgerhaus BüHa gGmbH;Übergangsstandort;Das Nachbarschaftszentrum (NBZ) Amtshaus Buchholz hat sich in 31 Jahren zu einer unverzichtbaren Institution für die lokale Gemeinschaft in Französisch Buchholz entwickelt. Es fungiert als zentraler Anlaufpunkt für Bürger:innen im Sozialraum und spielt auch eine entscheidende Rolle bei der Förderung des sozialen Zusammenhalts. In einer Zeit, in der gesellschaftliche Isolation und Anonymität zunehmen, bietet das NBZ einen Raum der Begegnung, Austausch und Unterstützung. Im Januar 2023 zog das NBZ aus dem ursprünglichen Standort im Amtshaus Buchholz (ca. 400 m² plus Garten) sanierungsbedingt in einen Übergangsstandort mit 45 m² Nutzfläche. Die kleine Fläche wird durch anteilige Raumnutzung bei vier Kooperationspartner:innen ergänzt, was eine erhebliche Veränderung und eine neue Arbeitsweise erforderten. Die Kursangebote wurden auf die anderen Einrichtungen verteilt (siehe unter „weitere Projektstandorte“), was die Frequentierung des NBZ durch Besucher:innen und Kursleiter:innen etwas reduzierte. Das Team entwickelte neue Formate und Angebote, um den neuen Standort zu beleben und alles zusammenzuhalten. Die Angebote des NBZ sind so vielfältig wie die Menschen, die es besuchen. Ein zentraler Pfeiler sind die Bildungsangebote, die darauf abzielen, die persönliche und berufliche Entwicklung zu fördern. Es gibt z.B. die English Hour, ein Sprachkurs zur Verbesserung der Sprachkenntnisse. Besonders wichtig sind auch Angebote für Senior:innen, z.B. in Kooperation mit dem FrauenComputerZentrumBerlin, die im Umgang mit Smartphones geschult werden, um in der digitalen Welt den Anschluss zu behalten. Gesundheitsförderung ist ebenfalls ein zentraler Inhalt, mit Bewegungsangeboten und Workshops zur gesunden Ernährung in Kooperation mit der Verbraucherzentrale Berlin. Ein weiterer wichtiger Bereich sind die sozialen, beratenden Dienste, die den Menschen in verschiedenen Lebenslagen zur Seite stehen. Ob es um Unterstützung bei der Formularhilfe, Sozial- oder Rechtsberatung geht – das NBZ bietet Hilfestellungen oder Weitervermittlung, die einen entscheidenden Unterschied im Alltag der Menschen machen. Das NBZ ist auch ein Ort der Freizeitgestaltung und Kreativität. Es bietet zahlreiche Aktivitäten für Kinder, Jugendliche und Erwachsene, von Sportgruppen über Bastelnachmittage bis hin zu Malkursen und kulturellen Veranstaltungen. Ein weiterer wichtiger Aspekt der Arbeit des NBZ ist der Fokus auf interkulturelle Angebote. In einer vielfältigen Gesellschaft ist die Integration von Menschen mit nicht deutschem Hintergrund von großer Bedeutung. Das NBZ bietet Programme wie das Sprachcafé, Kulturgespräche und das interkulturelle Frauen-Frühstück an, die den interkulturellen Austausch fördern. Diese Aktivitäten bereichern das soziale Leben im Viertel und tragen zur Integration bei, indem sie den Dialog zwischen verschiedenen Kulturen anregen. Das ehrenamtliche Engagement der Bürger:innen ist ein unverzichtbarer Bestandteil des NBZ. Es stärkt die Gemeinschaft und bietet Ehrenamtlichen die Möglichkeit, ihre Fähigkeiten weiterzuentwickeln und neue soziale Kontakte zu knüpfen. Das Hauptziel des NBZ ist die Förderung des sozialen Friedens im Kiez, indem die Lebensqualität der Anwohner:innen durch Angebote und Möglichkeiten zur Selbstwirksamkeit verbessert wird. Das NBZ bietet Raum für Begegnungen und Veranstaltungen, die die Teilhabe aller Bürger:innen unterstützen. Es ist ein Ort, an dem Menschen lernen, sich austauschen und aktiv sein können – ein wichtiger Schritt zu einer lebendigen und integrativen Nachbarschaft.;13.4211037;52.6063425;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/pa08nh.jpg;;2025-06-17
PA09NH;KulturMarktHalle – Stadtteilzentrum Prenzlauer Berg Ost;Stadtteilzentrum;Hanns-Eisler-Str. 93;10409;Berlin;Pankow;www.kulturmarkthalle.berlin;(030) 35 05 31 22;info@kulturmarkthalle.berlin;Stadtteil- und Nachbarschaftsarbeit, regelmäßige Kurse, Veranstaltungen;KulturMarktHalle e. V.;;Die KulturMarktHalle ist ein Ort für Kultur und Begegnung im Prenzlauer Berg. Jeden Monat gibt es ein wechselndes Programm mit Konzerten, Ausstellungen, Theater, Tanzveranstaltungen und Diskussionsrunden. Als Stadtteilzentrum Prenzlauer Berg Ost ist die KulturMarktHalle ein offener Ort, an dem Menschen zusammenkommen: Im Café, bei Veranstaltungen oder bei wöchentlichen Kursen.;13.4523792366801;52.539777;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/stz_kulturmarkthalle.jpg;;2026-06-08
RD02NH;Stadtteilzentrum Haus am See;Stadtteilzentrum;Stargardtstraße 9;13407;Berlin;Reinickendorf;https://www.lebenswelt-berlin.de/familien-und-stadtteilzentrum-haus-am-see;(030) 43 72 28 22;c.seemann@lebenswelt-berlin.de;Stadtteil- und Nachbarschaftsarbeit;LebensWelt gGmbH;;;13.3609245;52.5658104;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/rd02nh.jpg;;2025-06-11
RD03NH;Stadtteilzentrum AVA/MGH Berlin-Reinickendorf;Stadtteilzentrum;Auguste-Viktoria-Allee 17a;13403;Berlin;Reinickendorf;https://albatros.social/angebote/standorte/mehrgenerationenhaus/;(030) 33 29 22 18 0;mgh@albatrosggmbh.de;Stadtteil- und Nachbarschaftsarbeit, Mehrgenerationenhaus, Beratung, Kurse und Gruppen;Albatros gGmbH;;;13.3226722807056;52.570339134755;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;;2026-06-08
RD03NH;Gesobau Nachbarschaftsetage (Märk. Viertel);Nachbarschaftshaus;Wilhelmsruher Damm 124;13439;Berlin;Reinickendorf;https://www.albatrosggmbh.de/stadtteilarbeit-und-nachbarschaft/stadtteilzentren/maerkisches-viertel/beschreibung.html;(030) 41 50 85 66;mv-etage@albatrosggmbh.de;Stadtteil- und Nachbarschaftsarbeit;Albatros gGmbH;;;13.3574909;52.5980298;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;;2025-06-11
RD04NH;Stadtteilzentrum Rollberge;Stadtteilzentrum;Zabel-Krüger-Damm 52;13469;Berlin;Reinickendorf;https://stadtteilzentrum-rollberge.de/;(030) 81 82 27 33 0;info@stadtteilzentrum-rollberge.de;Stadtteil- und Nachbarschaftsarbeit;Stiftung Unionhilfswerk Berlin;;;13.3357026417944;52.6100577727534;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/stz_rollberge.jpg;;2025-06-11
RD05NH;Stadtteilzentrum Borsigwalde;Stadtteilzentrum;Ziekowstr. 114;13509;Berlin;Reinickendorf;https://beratung.immanuel.de/wo-wir-sind/berlin-reinickendorf/stadtteilzentrum-borsigwalde/;0174 248 29 12;stz-borsigwalde@immanuel.de;Stadtteil- und Nachbarschaftsarbeit;Beratung + Leben GmbH;;;13.293082850601;52.5893978;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/rd05nh.jpg;https://maps.app.goo.gl/1GvQ46wvaU1Y4oL36;2025-06-11
SP01NH;Stadtteilzentrum Siemensstadt;Stadtteilzentrum;Wattstraße 13;13629;Berlin;Spandau;https://casa-ev.de/stadtteilarbeit-siemensstadt/;(030) 38 28 91 2;stadtteilbuero@casa-ev.de;Stadtteil- und Nachbarschaftsarbeit;Sozial-kulturelle Netzwerke casa e. V.;;;13.2662454;52.5363004;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/sp01nh_1.jpg;;2025-06-11
SP02NH;Stadtteilzentrum Staakentreff Obstallee;Stadtteilzentrum;Obstallee 22 E;13593;Berlin;Spandau;https://gwv-heerstrasse.de/orte/staakentreff-2/;(030) 91 49 08 89;gwvbln@aol.com;Stadtteil- und Nachbarschaftsarbeit;Gemeinwesenverein Heerstraße Nord e. V.;;;13.1645117;52.5215384;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/sp02nh_1.jpg;;2025-06-11
SP03NH;Stadtteilzentrum Haselhorst;Nachbarschaftshaus;Burscheider Weg 21;13599;Berlin;Spandau;https://www.gwv-haselhorst.de/;(030) 33 45 15 1;info@gwv-haselhorst.de;Stadtteil- und Nachbarschaftsarbeit;Gemeinwesenverein Haselhorst e. V.;;;13.2361911;52.54407;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;;2025-06-11
SP03NH;Nachbarschaftszentrum Paul-Schneider-Haus;Stadtteilzentrum;Schönwalder Straße 23;13585;Berlin;Spandau;https://www.gwv-haselhorst.de/index.php?id=183;(030) 67 06 05 11;info@psh-spandau.de;Stadtteil- und Nachbarschaftsarbeit;Gemeinwesenverein Haselhorst e. V.;;;13.2024933;52.5468666;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;;2025-06-11
SP03NH;Stadtteilladen Hakenfelde;Nachbarschaftshaus;Streitstraße 60;13587;Berlin;Spandau;https://gwv-haselhorst.de/;;hakenfelde@gwv-haselhorst.de;Stadtteil- und Nachbarschaftsarbeit;Gemeinwesenverein Haselhorst e. V.;;;13.2079948;52.5609061;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;;2025-06-11
SP03NH;Treffpunkt Pulvermühle;Nachbarschaftshaus;Romy-Schneider-Str. 23;13599;Berlin;Spandau;https://gwv-haselhorst.de/722/;(030) 354 02 889;;Stadtteil- und Nachbarschaftsarbeit;Gemeinwesenverein Haselhorst e. V.;;;13.2249788353271;52.5455633799102;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;;2025-06-11
SP03NH;HD-Café;Nachbarschaftshaus;Haselhorster Damm 39;13599;Berlin;Spandau;https://gwv-haselhorst.de/hd-cafe/;;;Stadtteil- und Nachbarschaftsarbeit;Gemeinwesenverein Haselhorst e. V.;;;13.2375323;52.5455373;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;;2025-06-11
SP05NH;Stadtteilzentrum Kladow;Stadtteilzentrum;Sakrower Landstraße 3;14089;Berlin;Spandau;https://stadtteilzentrum-kladow.de/;(030) 36 50 21 25;info@stadtteilzentrum-kladow.de;Stadtteil- und Nachbarschaftsarbeit;Rotkreuz-Institut Berufsbildungswerk im DRK Berlin gemeinnützige GmbH;;;13.1425214;52.4528647;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/sp05nh.jpg;;2025-06-11
SP06NH;Stadtteilzentrum Gatow (Nachbarschaftshaus an der Havel);Stadtteilzentrum;Plievierstraße 3;14089;Berlin;Spandau;https://nachbarschaftshaus-gatow.de/;(030) 67 39 40 94;;Stadtteil- und Nachbarschaftsarbeit;Gemeinwesenverein Heerstraße Nord e. V.;;;13.181851;52.4858853;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;https://maps.app.goo.gl/1DdFnipcSAtSHWKi6;2026-06-08
SZ01NH;Gutshaus Lichterfelde;Stadtteilzentrum;Hindenburgdamm 28;12203;Berlin;Steglitz-Zehlendorf;https://www.stadtteilzentrum-steglitz.de/gutshaus-lichterfelde/;(030) 84 41 10 40;kolinski@stadtteilzentrum-steglitz.org;Stadtteil- und Nachbarschaftsarbeit;Stadtteilzentrum Steglitz e. V.;;;13.3164482573493;52.43900325;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/sz01nh.jpg;;2025-06-11
SZ01NH;KiJuNa - Kinder-, Jugend- und Nachbarschaftszentrum;Nachbarschaftshaus;Scheelestraße 145;12209;Berlin;Steglitz-Zehlendorf;https://www.stadtteilzentrum-steglitz.de/kijuna/;0173 73 82 16 9;reinicke@stadtteilzentrum-steglitz.org;Stadtteil- und Nachbarschaftsarbeit;Stadtteilzentrum Steglitz e. V.;;;13.3215906571072;52.41133565;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;https://maps.app.goo.gl/e7wpBKF2nrKx2iTFA;2025-06-11
SZ01NH;Kieztreff/Seniorenzentrum;Nachbarschaftshaus;Scheelestraße 109-111;12209;Berlin;Steglitz-Zehlendorf;https://www.stadtteilzentrum-steglitz.de/seniorenzentrum-scheelestrasse/;;;Stadtteil- und Nachbarschaftsarbeit;Stadtteilzentrum Steglitz e. V.;;;13.330150173292;52.4157486745726;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;https://maps.app.goo.gl/4rZJ691pyg7hNXtC8;2025-06-11
SZ02NH;Stadtteilzentrum Villa Mittelhof;Stadtteilzentrum;Königstraße 4243;14163;Berlin;Steglitz-Zehlendorf;https://www.mittelhof.org/orte/villa-mittelhof/;(030) 80 19 75 40;villa@mittelhof.org;Stadtteil- und Nachbarschaftsarbeit, Ehrenamt und Freiwilligenarbeit;Mittelhof e. V.;;;13.2543982801214;52.4338885625306;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/sz02nh.jpg;;2025-06-11
SZ02NH;Nachbarschaftsladen Berlinickestraße;Nachbarschaftshaus;Berlinickestraße 9;12165;Berlin;Steglitz-Zehlendorf;https://www.mittelhof.org/orte/nachbarschaftsladen-berlinickestrasse/;(030) 27 97 97 27;nachbarschaftshilfe@mittelhof.org;Stadtteil- und Nachbarschaftsarbeit;Mittelhof e. V.;;;13.3223768547149;52.4547275;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;https://maps.app.goo.gl/GCjLo9Fvu6oqBe189;2025-06-11
SZ04NH;Nachbarschaftsladen Leonie (Stadtteilzentrum SüdOst);Stadtteilzentrum;Leonorenstraße 85;12247;Berlin;Steglitz-Zehlendorf;https://www.stadtteilzentrum-steglitz.de/stadtteilzentrum-suedost/;(030) 85 40 11 71 5;krause@stadtteilzentrum-steglitz.org;Stadtteil- und Nachbarschaftsarbeit, Mobile Stadtteilarbeit;Kooperationsverbund SüdOst (Mittelhof e. V. / Stadtteilzentrum Steglitz e. V.);;;13.3449306;52.4376309;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/sz04nh.jpg;;2025-06-11
SZ05NH;Nachbarschaftshaus Lilienthal, Stadtteil- und Familienzentrum;Stadtteilzentrum;Schütte-Lanz-Straße 43;12209;Berlin;Steglitz-Zehlendorf;https://www.mittelhof.org/orte/nachbarschaftshaus-lilienthal/;(030) 49 80 56 47;post@stz-südost.de;Stadtteil- und Nachbarschaftsarbeit, Familienarbeit;Kooperationsverbund SüdOst (Mittelhof e. V. / Stadtteilzentrum Steglitz e. V.);;;13.3281022169744;52.4130997;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/sz05nh.jpg;;2025-06-11
SZ06NH;Nachbarschaftshaus Wannseebahn;Stadtteilzentrum;Mörchinger Str. 49;14169;Berlin;Steglitz-Zehlendorf;https://wsba.de/;(030) 64 49 77 42;info@wsba.de;Stadtteil- und Nachbarschaftsarbeit;Nachbarschaftshaus Wannseebahn e. V.;;;13.2787156;52.4384747;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/sz06nh_1.jpg;https://maps.app.goo.gl/x1atiRbbnuqPtiuM7;2025-06-11
SZ07NH;Nachbarschaftshaus Markus;Stadtteilzentrum;Albrechtstr. 81a;12167;Berlin;Steglitz-Zehlendorf;https://dwstz.de/nachbarschaftshaus-markus-stadtpark-viertel/;(030) 839092440;geschaeftsstelle@dwstz.de;Stadtteil- und Nachbarschaftsarbeit;Diakonisches Werk Steglitz und Teltow-Zehlendorf e. V.;;;13.3384643;52.4495046;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;;2025-06-11
TK01NH;Sadtteilzentrum Rabenhaus;Stadtteilzentrum;Puchanstraße 9;12555;Berlin;Treptow-Köpenick;https://www.rabenhaus.de/;(030) 65 88 01 65 / 65 88 01 63;info@rabenhaus.de;Stadtteil- und Nachbarschaftsarbeit, Kultur und Veranstaltungen, Familienarbeit, Mobile Stadtteilarbeit, Schwerpunkt Kinder, Schwerpunkt Jugendliche;Rabenhaus e. V. - sozial-kulturelle Projekte;;;13.5794358;52.4547088;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/tk01nh_1.jpg;;2025-06-11
TK01NH;ABC-STADTKULTUR;Nachbarschaftshaus;Hirschgartenstr. 14;12555;Berlin;Treptow-Köpenick;https://www.abc-fuer-immer.de;;;Stadtteil- und Nachbarschaftsarbeit, Mobile Stadtteilarbeit, Kultur und Veranstaltungen, Nachhaltigkeit und Umwelt;Rabenhaus e. V. - sozial-kulturelle Projekte;;;13.5970757;52.4559208;https://www.berlin.de/sen/soziales/buergerschaftliches-engagement/stadtteilzentren/projektuebersicht/projektliste/platzhalter.jpg;;2025-06-11
